Slug,Country_Code,Property_Type_Categories,Review_score_base,Review_Score,USD_Price,Partner,Published
ilikai-tower-525-city-view-2br,us,['Apartment'],10,10.0,542,booking.com,True
ilikai-tower-701-city-view-1br,us,['Apartment'],10,0.0,243,booking.com,True
ilikai-tower-735-yacht-harbor-view-1br,us,['Apartment'],10,7.5,272,booking.com,True
ilikai-tower-1323-city-view-1br,us,['Apartment'],10,0.0,156,booking.com,True
new-hotel-lafayette,fr,Hotel,10,7.9,140,booking.com,True
hotel-regina-opera-grands-boulevards,fr,Hotel,10,7.6,134,booking.com,True
amistad-hotel,nl,Hotel,10,8.6,177,booking.com,True
conscious-hotel-vondelpark,nl,Hotel,10,8.3,74,booking.com,True
t-hotel,nl,Hotel,10,9.0,171,booking.com,True
linden-hotel,nl,Hotel,10,9.1,144,booking.com,True
hotel-schroder,nl,Hotel,10,5.5,68,booking.com,True
hotel-restaurant-old-bridge,nl,Hotel,10,6.4,75,booking.com,True
luana-waikiki-resort-204,us,Hotel,10,1.0,103,booking.com,True
hotel-edouard-6-montparnasse-saint-germain-des-pres,fr,Hotel,10,8.5,115,booking.com,True
ibis-styles-paris-gare-saint-lazare,fr,Hotel,10,8.0,105,booking.com,True
jardins-de-montmartre,fr,Hotel,10,7.7,104,booking.com,True
best-western-the-blake-paris-gare-saint-lazare,fr,Hotel,10,9.1,136,booking.com,True
hotel-beaurepaire,fr,Hotel,10,7.4,130,booking.com,True
hotel-eiffel-seine,fr,Hotel,10,8.1,138,booking.com,True
villa-des-princes,fr,Hotel,10,7.9,107,booking.com,True
hotel-claret,fr,Hotel,10,6.4,97,booking.com,True
royal-kuhio-1710-beautiful-city-view,us,['House'],10,7.5,201,booking.com,True
hyatt-place-502,us,['Apartment'],10,5.3,140,booking.com,True
newly-renovated-rk1812-heart-of-waikiki-parking-included,us,['House'],10,3.5,206,booking.com,True
ilikai-tower-943-yacht-harbor-view-2br,us,['Apartment'],10,9.7,738,booking.com,True
murray-hill-east-suites,us,['Apartment'],10,8.0,122,booking.com,True
hotel-carpe-diem-gudauri,ge,Resort,10,7.8,158,booking.com,True
tsar-bani-spa-resort,ge,Hotel,10,9.0,47,booking.com,True
your-little-piece-of-paradise-pool-bbq-wifi-at-inn-on-the-park-613,us,['Apartment'],10,7.0,143,booking.com,True
ilikai-apt-1042-lagoon-ocean-fireworks-vws-stu-1ba,us,['House'],10,6.3,166,booking.com,True
royal-kuhio-1712-heart-of-waikiki,us,['House'],10,2.0,264,booking.com,True
hotel-coypel-by-magna-arbor,fr,Hotel,10,7.7,63,booking.com,True
paris-marriott-opera-ambassador-hotel,fr,Hotel,10,7.4,253,booking.com,True
royal-kuhio-resort,us,Hotel,10,8.3,263,booking.com,True
diamond-head-beach-hotel,us,Hotel,10,6.9,110,booking.com,True
emerald-beach-2330,us,Hotel,10,4.6,83,booking.com,True
sunbird-705w,us,Hotel,10,6.3,50,booking.com,True
gulf-gate-209,us,Hotel,10,8.7,65,booking.com,True
the-inn-at-st-thomas-square-1208a,us,Hotel,10,6.9,50,booking.com,True
the-inn-at-st-thomas-square-1205b,us,Hotel,10,6.7,50,booking.com,True
windward-203-at-edgewater-sandy-kisses,us,Hotel,10,9.0,185,booking.com,True
gulf-highlands-149-grand-island,us,Hotel,10,8.6,70,booking.com,True
nautical-watch-d-6,us,Hotel,10,7.9,127,booking.com,True
grandview-east-1503,us,Hotel,10,9.3,325,booking.com,True
social-hostel,br,['Hotel'],10,7.7,21,booking.com,True
the-siem-reap-chilled-backpacker,kh,['Hotel'],10,8.5,5,booking.com,True
riad-karmela,ma,['House'],10,9.1,138,booking.com,True
riad-shaden,ma,['House'],10,9.1,68,booking.com,True
riad-maison-belbaraka,ma,['House'],10,8.6,92,booking.com,True
ryad-dyor,ma,['House'],10,9.5,203,booking.com,True
riad-azcona,ma,['House'],10,8.7,110,booking.com,True
harbor-view-plaza-1203,us,['Apartment'],10,9.0,87,booking.com,True
riad-palais-calipau,ma,['House'],10,9.1,95,booking.com,True
pension-lucie,cz,['House'],10,8.5,63,booking.com,True
alta-piazza-casa-di-appartamenti,ar,['Apartment'],10,8.2,67,booking.com,True
ilikai-tower-1137-yacht-harbor-view-1br,us,['Apartment'],10,8.8,331,booking.com,True
